,Block Group,Cencus Tract,Weighted HH Inc Int,Median HH Inc Int,Geoid1,Weighted HH Inc,Median HH Income_x,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!White alone,Total:!!Asian alone,Total:!!Two or More Races,Total:!!Black or African American alone,Total:!!Some Other Race alone,Total:!!American Indian and Alaska Native alone,Total:!!Native Hawaiian and Other Pacific Islander alone,% White,% Asian,% Two or More,% Black,% Other,% American Indian,% Pacific Islander,Median HH Income_y,23-24 K count,24-25 K count,Avg K Count,23-24 FRL K count,24-25 FRL K count,Avg FRL K Count,23-24 Asian,23-24 Hispanic,23-24 White,23-24 Black,23-24 Other,24-25 Asian,24-25 Hispanic,24-25 White,24-25 Black,24-25 Other,Avg K Asian,Avg K Hispanic,Avg K White,Avg K Black,Avg K Other,objectid,statefp,countyfp,trctce,geoid,name_,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,Shape__Area,Shape__Length
32,2,178.01,2884,133780,6075017801,"$2,884","$133,780",768,"1,161","1,161",363,690,79,13,15,1,0,31.3%,59.4%,6.8%,1.1%,1.3%,0.1%,0.0%,"$133,780",0.0,2.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1718,6,75,,6075017801,178.01,Census Tract 178.01,G5020,S,214051,0,37.7820284,-122.4011589,2.18923933061888e-05,0.0192805695312699
33,2,178.03,2895,154632,6075017803,"$2,895","$154,632",667,"1,184","1,184",458,443,109,64,106,4,0,38.7%,37.4%,9.2%,5.4%,9.0%,0.3%,0.0%,"$154,632",8.0,6.0,7.0,5.0,,,0.0,6.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,701,6,75,,6075017803,178.03,Census Tract 178.03,G5020,S,189846,0,37.773426,-122.4120419,1.94144931811024e-05,0.0179880999942075
34,2,178.04,1748,74205,6075017804,"$1,748","$74,205",839,"1,519","1,519",503,677,103,146,77,5,8,33.1%,44.6%,6.8%,9.6%,5.1%,0.3%,0.5%,"$74,205",6.0,12.0,9.0,3.0,,,0.0,2.0,0.0,2.0,2.0,1.0,7.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,3.0,703,6,75,,6075017804,178.04,Census Tract 178.04,G5020,S,320289,0,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
35,2,180.0,2403,162708,6075018000,"$2,403","$162,708",526,"1,063","1,063",454,308,108,109,68,5,11,42.7%,29.0%,10.2%,10.3%,6.4%,0.5%,1.0%,"$162,708",1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121,6,75,,6075018000,180.0,Census Tract 180,G5020,S,933506,0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
36,2,226.0,6545,194444,6075022600,"$6,545","$194,444","1,199","2,611","2,611","1,353",651,292,125,174,12,4,51.8%,24.9%,11.2%,4.8%,6.7%,0.5%,0.2%,"$194,444",4.0,5.0,5.0,0.0,,,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,475,6,75,,6075022600,226.0,Census Tract 226,G5020,S,1334366,503898,37.7612744,-122.3841166,0.0001879535548141,0.0610670777632042
37,2,227.02,3247,221136,6075022702,"$3,247","$221,136",523,"1,066","1,066",691,144,159,31,32,5,4,64.8%,13.5%,14.9%,2.9%,3.0%,0.5%,0.4%,"$221,136",0.0,3.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66,6,75,,6075022702,227.02,Census Tract 227.02,G5020,S,295531,0,37.7626143,-122.3955143,3.0217533094401e-05,0.0219643205152717
38,2,227.04,2697,149483,6075022704,$0,$0,505,"1,040","1,040",679,191,139,7,21,2,1,65.3%,18.4%,13.4%,0.7%,2.0%,0.2%,0.1%,,8.0,3.0,6.0,1.0,,,0.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1719,6,75,,6075022704,227.04,Census Tract 227.04,G5020,S,544609,0,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
39,2,228.02,2697,149483,6075022802,$0,$0,378,"1,151","1,151",474,252,140,68,202,9,6,41.2%,21.9%,12.2%,5.9%,17.5%,0.8%,0.5%,,4.0,7.0,6.0,3.0,,,0.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,476,6,75,,6075022802,228.02,Census Tract 228.02,G5020,S,291253,0,37.7589131,-122.4062337,2.97791466437047e-05,0.0296418563678243
40,2,607.01,10172,149483,6075060701,"$10,172","$149,483","2,424","6,050","6,050","2,154","2,195",506,422,666,57,50,35.6%,36.3%,8.4%,7.0%,11.0%,0.9%,0.8%,"$149,483",41.0,34.0,38.0,27.0,,,17.0,10.0,2.0,4.0,8.0,14.0,8.0,1.0,4.0,7.0,16.0,9.0,2.0,4.0,8.0,770,6,75,,6075060701,607.01,Census Tract 607.01,G5020,S,1292507,742331,37.7743713,-122.3835948,0.0002080902750094,0.0673846737012472
41,2,607.03,5445,213146,6075060703,"$5,445","$213,146",910,"1,788","1,788",582,887,125,112,78,1,3,32.6%,49.6%,7.0%,6.3%,4.4%,0.1%,0.2%,"$213,146",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994,6,75,,6075060703,607.03,Census Tract 607.03,G5020,S,346694,0,37.7749279,-122.3957079,3.54549338226207e-05,0.0307532764714659
42,2,614.02,3661,187926,6075061402,"$3,661","$187,926",694,"1,196","1,196",445,218,123,215,136,6,53,37.2%,18.2%,10.3%,18.0%,11.4%,0.5%,4.4%,"$187,926",1.0,3.0,2.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,995,6,75,,6075061402,614.02,Census Tract 614.02,G5020,S,393751,0,37.7565832,-122.3947008,4.02575556108786e-05,0.026377667736503
43,2,615.01,2657,243345,6075061501,"$2,657","$243,345",389,518,518,279,165,45,7,18,3,1,53.9%,31.9%,8.7%,1.4%,3.5%,0.6%,0.2%,"$243,345",0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,787,6,75,,6075061501,615.01,Census Tract 615.01,G5020,S,416352,0,37.7878384,-122.4001079,4.25860380346421e-05,0.0299364059570182
44,2,615.02,683,35512,6075061502,$683,"$35,512",685,"1,002","1,002",443,253,129,90,66,20,1,44.2%,25.2%,12.9%,9.0%,6.6%,2.0%,0.1%,"$35,512",3.0,2.0,3.0,3.0,,,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,996,6,75,,6075061502,615.02,Census Tract 615.02,G5020,S,215314,0,37.7817147,-122.3929796,2.20211950363591e-05,0.0233497021386343
45,2,615.03,3405,203492,6075061503,"$3,405","$203,492",596,974,974,407,334,85,92,47,6,3,41.8%,34.3%,8.7%,9.4%,4.8%,0.6%,0.3%,"$203,492",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993,6,75,,6075061503,615.03,Census Tract 615.03,G5020,S,234864,0,37.7857922,-122.3965353,2.40221093008586e-05,0.0214894887020771
46,2,615.04,4674,241992,6075061504,"$4,674","$241,992",688,952,952,427,424,71,14,15,0,1,44.9%,44.5%,7.5%,1.5%,1.6%,0.0%,0.1%,"$241,992",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776,6,75,,6075061504,615.04,Census Tract 615.04,G5020,S,95344,0,37.7852562,-122.3924125,9.75167813521693e-06,0.0141154554413989
47,2,615.06,4870,213137,6075061506,"$4,870","$213,137",814,"1,172","1,172",522,476,98,51,20,5,0,44.5%,40.6%,8.4%,4.4%,1.7%,0.4%,0.0%,"$213,137",1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,791,6,75,,6075061506,615.06,Census Tract 615.06,G5020,S,112895,0,37.7876594,-122.3910165,1.15471630124375e-05,0.018634113490298
48,2,615.07,2697,149483,6075061507,$0,$0,0,0,0,0,0,0,0,0,0,0,-%,-%,-%,-%,-%,-%,-%,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777,6,75,,6075061507,615.07,Census Tract 615.07,G5020,S,336738,299021,37.7907573,-122.3891845,6.50307688374596e-05,0.0421598914067809
